PontoID,Ponto,LON,LAT,REGIAO,UF,ESTADO,gridM_ID,gridG_ID,LOCCLASS,CLASS_DED
576,M1234-E6-P1,-50.567829,-17.567588,Centro-Oeste,GO,Goiás,M1234,G17,inside,Degradação Moderada
577,M1234-E6-P2,-50.555792,-17.563366,Centro-Oeste,GO,Goiás,M1234,G17,outside,Degradação Baixa
578,M1234-E6-P3,-50.535759,-17.55609,Centro-Oeste,GO,Goiás,M1234,G17,inside,Degradação Moderada
579,M1234-E6-P4,-50.529831,-17.554293,Centro-Oeste,GO,Goiás,M1234,G17,inside,Degradação Moderada
572,M1234-E6-P5,-50.505396,-17.587082,Centro-Oeste,GO,Goiás,M1234,G17,inside,Degradação Baixa
574,M1234-E6-P6,-50.496144,-17.586363,Centro-Oeste,GO,Goiás,M1234,G17,inside,Degradação Moderada
575,M1234-E6-P7,-50.500635,-17.576392,Centro-Oeste,GO,Goiás,M1234,G17,outside,Degradação Baixa
683,M1369-E6-P1,-50.31145,-16.577196,Centro-Oeste,GO,Goiás,M1369,G25,inside,Degradação Baixa
682,M1369-E6-P2,-50.311809,-16.581687,Centro-Oeste,GO,Goiás,M1369,G25,inside,Degradação Moderada
676,M1369-E6-P3,-50.32232,-16.594713,Centro-Oeste,GO,Goiás,M1369,G25,inside,Degradação Baixa
680,M1369-E6-P4,-50.337861,-16.587347,Centro-Oeste,GO,Goiás,M1369,G25,inside,Degradação Baixa
679,M1369-E6-P6,-50.377746,-16.590042,Centro-Oeste,GO,Goiás,M1369,G25,outside,Degradação Moderada
677,M1369-E6-P7,-50.376578,-16.591928,Centro-Oeste,GO,Goiás,M1369,G25,outside,Degradação Agrícola Severa
1,M1491-E1-P1,-50.14598,-14.989783,Centro-Oeste,GO,Goiás,M1491,G23,inside,Degradação Biológica Severa
13,M1491-E1-P13,-50.146789,-14.978913,Centro-Oeste,GO,Goiás,M1491,G23,outside,Degradação Biológica Severa
3,M1491-E1-P3,-50.149574,-14.994095,Centro-Oeste,GO,Goiás,M1491,G23,inside,Degradação Biológica Severa
6,M1491-E1-P6,-50.213444,-14.998047,Centro-Oeste,GO,Goiás,M1491,G23,inside,Degradação Moderada
9,M1491-E1-P9,-50.147597,-14.993825,Centro-Oeste,GO,Goiás,M1491,G23,inside,Degradação Biológica Severa
618,M1512-E5-P1,-50.161521,-16.918645,Centro-Oeste,GO,Goiás,M1512,G25,inside,Degradação Agrícola Severa
620,M1512-E5-P2,-50.133314,-16.914064,Centro-Oeste,GO,Goiás,M1512,G25,outside,Degradação Baixa
623,M1512-E5-P3,-50.171493,-16.903194,Centro-Oeste,GO,Goiás,M1512,G25,outside,Degradação Moderada
617,M1512-E5-P4,-50.216588,-16.919813,Centro-Oeste,GO,Goiás,M1512,G25,inside,Degradação Agrícola Severa
639,M1512-E5-P5,-50.191255,-16.855224,Centro-Oeste,GO,Goiás,M1512,G25,inside,Não degradada
642,M1512-E5-P6,-50.21551,-16.847409,Centro-Oeste,GO,Goiás,M1512,G25,outside,Não degradada
646,M1512-E5-P7,-50.206257,-16.835911,Centro-Oeste,GO,Goiás,M1512,G25,inside,Não degradada
643,M1512-E5-P8,-50.147328,-16.842918,Centro-Oeste,GO,Goiás,M1512,G25,inside,Degradação Agrícola Severa
16,M1680-E2-P16,-49.914754,-14.53299,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Biológica Severa
17,M1680-E2-P17,-49.907568,-14.554729,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Biológica Severa
18,M1680-E2-P18,-49.907568,-14.568922,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Moderada
19,M1680-E2-P19,-49.923019,-14.50622,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Moderada
20,M1680-E2-P20,-49.906579,-14.521761,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Baixa
21,M1680-E2-P21,-49.898045,-14.502267,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Moderada
23,M1680-E2-P23,-49.910173,-14.499393,Centro-Oeste,GO,Goiás,M1680,G23,inside,Degradação Baixa
25,M1680-E2-P25,-49.928498,-14.524366,Centro-Oeste,GO,Goiás,M1680,G23,outside,Degradação Moderada
26,M1680-E2-P26,-49.877743,-14.496967,Centro-Oeste,GO,Goiás,M1680,G23,outside,Degradação Moderada
30,M1685-E3-P30,-49.871725,-15.000024,Centro-Oeste,GO,Goiás,M1685,G23,inside,Degradação Baixa
31,M1685-E3-P31,-49.875318,-15.011253,Centro-Oeste,GO,Goiás,M1685,G23,inside,Não degradada
32,M1685-E3-P32,-49.926612,-14.990502,Centro-Oeste,GO,Goiás,M1685,G23,inside,Degradação Agrícola Severa
35,M1685-E3-P35,-49.922749,-15.026344,Centro-Oeste,GO,Goiás,M1685,G23,inside,Não degradada
36,M1685-E3-P36,-49.941075,-15.018619,Centro-Oeste,GO,Goiás,M1685,G23,inside,Degradação Moderada
37,M1685-E3-P37,-49.926252,-14.979812,Centro-Oeste,GO,Goiás,M1685,G23,inside,Degradação Agrícola Severa
38,M1685-E3-P38,-49.916461,-15.002359,Centro-Oeste,GO,Goiás,M1685,G23,inside,Degradação Agrícola Severa
39,M1685-E3-P39,-49.909544,-15.017451,Centro-Oeste,GO,Goiás,M1685,G23,inside,Degradação Agrícola Severa
40,M1685-E3-P40,-49.881696,-14.999036,Centro-Oeste,GO,Goiás,M1685,G23,outside,Não degradada
41,M1685-E3-P41,-49.860136,-14.999754,Centro-Oeste,GO,Goiás,M1685,G23,outside,Degradação Baixa
42,M1685-E3-P42,-49.890589,-14.994813,Centro-Oeste,GO,Goiás,M1685,G23,outside,Degradação Baixa
616,M1707-E4-P1,-49.886188,-16.925203,Centro-Oeste,GO,Goiás,M1707,G25,inside,Degradação Moderada
615,M1707-E4-P2,-49.87415,-16.932749,Centro-Oeste,GO,Goiás,M1707,G25,inside,Degradação Moderada
612,M1707-E4-P3,-49.869659,-16.967873,Centro-Oeste,GO,Goiás,M1707,G25,outside,Degradação Agrícola Severa
611,M1707-E4-P4,-49.895171,-16.99608,Centro-Oeste,GO,Goiás,M1707,G25,inside,Degradação Moderada
614,M1707-E4-P5,-49.906669,-16.965538,Centro-Oeste,GO,Goiás,M1707,G25,inside,Degradação Moderada
613,M1707-E4-P6,-49.909095,-16.965627,Centro-Oeste,GO,Goiás,M1707,G25,inside,Degradação Moderada
43,M1750-E5-P43,-49.817916,-15.185975,Centro-Oeste,GO,Goiás,M1750,G23,inside,Não degradada
44,M1750-E5-P44,-49.825012,-15.1407,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Baixa
45,M1750-E5-P45,-49.845494,-15.169805,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Baixa
46,M1750-E5-P46,-49.821329,-15.146539,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Baixa
48,M1750-E5-P48,-49.823575,-15.189299,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Agrícola Severa
49,M1750-E5-P49,-49.7889,-15.205289,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Baixa
50,M1750-E5-P50,-49.827168,-15.162259,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Moderada
52,M1750-E5-P52,-49.814053,-15.192623,Centro-Oeste,GO,Goiás,M1750,G23,inside,Degradação Baixa
54,M1750-E5-P54,-49.837858,-15.175105,Centro-Oeste,GO,Goiás,M1750,G23,outside,Degradação Baixa
699,M1825-E3-P1,-49.699069,-16.238621,Centro-Oeste,GO,Goiás,M1825,G25,inside,Degradação Baixa
697,M1825-E3-P2,-49.699338,-16.251107,Centro-Oeste,GO,Goiás,M1825,G25,inside,Degradação Moderada
696,M1825-E3-P3,-49.683168,-16.278237,Centro-Oeste,GO,Goiás,M1825,G25,outside,Não degradada
703,M1825-E3-P4,-49.689546,-16.220655,Centro-Oeste,GO,Goiás,M1825,G25,outside,Degradação Moderada
704,M1825-E3-P5,-49.700057,-16.202778,Centro-Oeste,GO,Goiás,M1825,G25,inside,Degradação Agrícola Severa
700,M1825-E3-P6,-49.723952,-16.226134,Centro-Oeste,GO,Goiás,M1825,G25,inside,Degradação Moderada
701,M1825-E3-P7,-49.744344,-16.222271,Centro-Oeste,GO,Goiás,M1825,G25,inside,Não degradada
702,M1825-E3-P8,-49.7518,-16.220744,Centro-Oeste,GO,Goiás,M1825,G25,inside,Degradação Agrícola Severa
698,M1825-E3-P9,-49.759076,-16.246526,Centro-Oeste,GO,Goiás,M1825,G25,inside,Não degradada
674,M1892-E2-P1,-49.592708,-16.689036,Centro-Oeste,GO,Goiás,M1892,G25,inside,Degradação Moderada
670,M1892-E2-P3,-49.605284,-16.722094,Centro-Oeste,GO,Goiás,M1892,G25,inside,Degradação Baixa
669,M1892-E2-P4,-49.612471,-16.724789,Centro-Oeste,GO,Goiás,M1892,G25,inside,Degradação Moderada
668,M1892-E2-P5,-49.627024,-16.739072,Centro-Oeste,GO,Goiás,M1892,G25,inside,Degradação Moderada
672,M1892-E2-P6,-49.622442,-16.703768,Centro-Oeste,GO,Goiás,M1892,G25,inside,Degradação Moderada
671,M1892-E2-P7,-49.643912,-16.717962,Centro-Oeste,GO,Goiás,M1892,G25,outside,Degradação Baixa
57,M1928-E6-P57,-49.554979,-14.420521,Centro-Oeste,GO,Goiás,M1928,G23,inside,Degradação Moderada
59,M1928-E6-P59,-49.563153,-14.405249,Centro-Oeste,GO,Goiás,M1928,G23,inside,Degradação Moderada
60,M1928-E6-P60,-49.552553,-14.426,Centro-Oeste,GO,Goiás,M1928,G23,inside,Degradação Biológica Severa
62,M1928-E6-P62,-49.560279,-14.400758,Centro-Oeste,GO,Goiás,M1928,G23,inside,Degradação Baixa
63,M1928-E6-P63,-49.55435,-14.418095,Centro-Oeste,GO,Goiás,M1928,G23,inside,Degradação Moderada
64,M1928-E6-P64,-49.56522,-14.401836,Centro-Oeste,GO,Goiás,M1928,G23,inside,Degradação Moderada
65,M1928-E6-P65,-49.562255,-14.400219,Centro-Oeste,GO,Goiás,M1928,G23,inside,Não degradada
66,M1928-E6-P66,-49.583725,-14.449087,Centro-Oeste,GO,Goiás,M1928,G23,outside,Degradação Biológica Severa
68,M1928-E6-P68,-49.57555,-14.427258,Centro-Oeste,GO,Goiás,M1928,G23,outside,Degradação Moderada
70,M1928-E6-P70,-49.578245,-14.45816,Centro-Oeste,GO,Goiás,M1928,G23,outside,Degradação Moderada
71,M1934-E4-P71,-49.570879,-15.000832,Centro-Oeste,GO,Goiás,M1934,G23,inside,Degradação Agrícola Severa
72,M1934-E4-P72,-49.533419,-15.002988,Centro-Oeste,GO,Goiás,M1934,G23,inside,Degradação Moderada
73,M1934-E4-P73,-49.50656,-14.990861,Centro-Oeste,GO,Goiás,M1934,G23,inside,Não degradada
74,M1934-E4-P74,-49.55956,-14.995981,Centro-Oeste,GO,Goiás,M1934,G23,inside,Degradação Moderada
75,M1934-E4-P75,-49.501529,-14.989693,Centro-Oeste,GO,Goiás,M1934,G23,inside,Degradação Moderada
76,M1934-E4-P76,-49.528928,-14.946125,Centro-Oeste,GO,Goiás,M1934,G23,inside,Não degradada
79,M1934-E4-P79,-49.52776,-14.963911,Centro-Oeste,GO,Goiás,M1934,G23,inside,Não degradada
80,M1934-E4-P80,-49.575011,-15.01817,Centro-Oeste,GO,Goiás,M1934,G23,inside,Não degradada
82,M1934-E4-P82,-49.567376,-14.993466,Centro-Oeste,GO,Goiás,M1934,G23,outside,Degradação Baixa
84,M1934-E4-P84,-49.502697,-15.006222,Centro-Oeste,GO,Goiás,M1934,G23,outside,Degradação Moderada
655,M1954-E1-P1,-49.525334,-16.804739,Centro-Oeste,GO,Goiás,M1954,G25,inside,Degradação Moderada
651,M1954-E1-P2,-49.57007,-16.818753,Centro-Oeste,GO,Goiás,M1954,G25,inside,Degradação Baixa
657,M1954-E1-P3,-49.576808,-16.799798,Centro-Oeste,GO,Goiás,M1954,G25,outside,Degradação Baixa
660,M1954-E1-P4,-49.574113,-16.789827,Centro-Oeste,GO,Goiás,M1954,G25,outside,Degradação Agrícola Severa
659,M1954-E1-P5,-49.548691,-16.790905,Centro-Oeste,GO,Goiás,M1954,G25,inside,Não degradada
661,M1954-E1-P6,-49.545996,-16.786503,Centro-Oeste,GO,Goiás,M1954,G25,outside,Degradação Baixa
664,M1954-E1-P7,-49.584623,-16.768896,Centro-Oeste,GO,Goiás,M1954,G25,inside,Degradação Moderada
666,M1954-E1-P8,-49.544918,-16.750211,Centro-Oeste,GO,Goiás,M1954,G25,inside,Não degradada
667,M1954-E1-P9,-49.542941,-16.747696,Centro-Oeste,GO,Goiás,M1954,G25,inside,Degradação Agrícola Severa
87,M2022-E1-P87,-49.428945,-17.456467,Centro-Oeste,GO,Goiás,M2022,G33,inside,Degradação Baixa
88,M2022-E1-P88,-49.413943,-17.399154,Centro-Oeste,GO,Goiás,M2022,G33,inside,Degradação Moderada
89,M2022-E1-P89,-49.416279,-17.396998,Centro-Oeste,GO,Goiás,M2022,G33,inside,Não degradada
90,M2022-E1-P90,-49.43712,-17.371486,Centro-Oeste,GO,Goiás,M2022,G33,inside,Degradação Moderada
92,M2022-E1-P92,-49.435054,-17.434907,Centro-Oeste,GO,Goiás,M2022,G33,inside,Degradação Baixa
95,M2022-E1-P95,-49.432718,-17.389722,Centro-Oeste,GO,Goiás,M2022,G33,outside,Degradação Agrícola Severa
96,M2022-E1-P96,-49.498295,-17.414336,Centro-Oeste,GO,Goiás,M2022,G33,outside,Degradação Moderada
97,M2022-E1-P97,-49.469279,-17.408946,Centro-Oeste,GO,Goiás,M2022,G33,outside,Degradação Agrícola Severa
98,M2022-E1-P98,-49.444216,-17.391788,Centro-Oeste,GO,Goiás,M2022,G33,outside,Degradação Moderada
100,M2026-E2-P100,-49.489042,-17.762253,Centro-Oeste,GO,Goiás,M2026,G33,inside,Degradação Moderada
101,M2026-E2-P101,-49.481497,-17.73737,Centro-Oeste,GO,Goiás,M2026,G33,inside,Degradação Moderada
102,M2026-E2-P102,-49.471435,-17.750485,Centro-Oeste,GO,Goiás,M2026,G33,inside,Não degradada
103,M2026-E2-P103,-49.486168,-17.735124,Centro-Oeste,GO,Goiás,M2026,G33,inside,Degradação Moderada
104,M2026-E2-P104,-49.416189,-17.746802,Centro-Oeste,GO,Goiás,M2026,G33,inside,Degradação Moderada
105,M2026-E2-P105,-49.481497,-17.736292,Centro-Oeste,GO,Goiás,M2026,G33,inside,Não degradada
106,M2026-E2-P106,-49.423555,-17.735663,Centro-Oeste,GO,Goiás,M2026,G33,inside,Degradação Moderada
108,M2026-E2-P108,-49.478532,-17.771776,Centro-Oeste,GO,Goiás,M2026,G33,inside,Não degradada
112,M2026-E2-P112,-49.431191,-17.760726,Centro-Oeste,GO,Goiás,M2026,G33,outside,Não degradada
99,M2026-E2-P99,-49.4903,-17.730363,Centro-Oeste,GO,Goiás,M2026,G33,inside,Degradação Baixa
114,M2041-E3-P114,-49.347378,-13.323228,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Baixa
115,M2041-E3-P115,-49.32528,-13.347752,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Biológica Severa
117,M2041-E3-P117,-49.338664,-13.358263,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Moderada
119,M2041-E3-P119,-49.345581,-13.333829,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Moderada
120,M2041-E3-P120,-49.34621,-13.384404,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Biológica Severa
121,M2041-E3-P121,-49.321417,-13.357903,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Biológica Severa
122,M2041-E3-P122,-49.367141,-13.382158,Centro-Oeste,GO,Goiás,M2041,G28,inside,Degradação Moderada
124,M2041-E3-P124,-49.346839,-13.379193,Centro-Oeste,GO,Goiás,M2041,G28,outside,Degradação Moderada
125,M2041-E3-P125,-49.360134,-13.37596,Centro-Oeste,GO,Goiás,M2041,G28,outside,Degradação Moderada
138,M2109-E3-P138,-49.230687,-13.651652,Centro-Oeste,GO,Goiás,M2109,G29,outside,Degradação Biológica Severa
127,M2109-E5-P127,-49.244701,-13.662342,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Baixa
128,M2109-E5-P128,-49.285215,-13.6636,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Baixa
129,M2109-E5-P129,-49.248114,-13.590747,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Moderada
130,M2109-E5-P130,-49.283328,-13.668092,Centro-Oeste,GO,Goiás,M2109,G29,inside,Não degradada
131,M2109-E5-P131,-49.252157,-13.603862,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Biológica Severa
132,M2109-E5-P132,-49.251258,-13.608264,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Agrícola Severa
134,M2109-E5-P134,-49.261858,-13.595687,Centro-Oeste,GO,Goiás,M2109,G29,inside,Não degradada
135,M2109-E5-P135,-49.281172,-13.67447,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Moderada
136,M2109-E5-P136,-49.286562,-13.678332,Centro-Oeste,GO,Goiás,M2109,G29,inside,Degradação Moderada
140,M2109-E5-P140,-49.252875,-13.631261,Centro-Oeste,GO,Goiás,M2109,G29,outside,Degradação Baixa
142,M2148-E1-P142,-49.231945,-17.152477,Centro-Oeste,GO,Goiás,M2148,G33,inside,Degradação Moderada
143,M2148-E4-P143,-49.244341,-17.126426,Centro-Oeste,GO,Goiás,M2148,G33,inside,Não degradada
144,M2148-E4-P144,-49.256109,-17.107202,Centro-Oeste,GO,Goiás,M2148,G33,inside,Degradação Moderada
145,M2148-E4-P145,-49.243623,-17.15625,Centro-Oeste,GO,Goiás,M2148,G33,inside,Degradação Moderada
146,M2148-E4-P146,-49.238772,-17.116005,Centro-Oeste,GO,Goiás,M2148,G33,inside,Degradação Moderada
147,M2148-E4-P147,-49.24524,-17.121126,Centro-Oeste,GO,Goiás,M2148,G33,inside,Degradação Moderada
148,M2148-E4-P148,-49.238951,-17.112232,Centro-Oeste,GO,Goiás,M2148,G33,inside,Não degradada
149,M2148-E4-P149,-49.260691,-17.151489,Centro-Oeste,GO,Goiás,M2148,G33,outside,Degradação Moderada
153,M2148-E4-P153,-49.248024,-17.159124,Centro-Oeste,GO,Goiás,M2148,G33,outside,Degradação Moderada
156,M2166-E4-P156,-49.159271,-12.949978,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Moderada
157,M2166-E4-P157,-49.152264,-12.952404,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Baixa
159,M2166-E4-P159,-49.160978,-12.915753,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Moderada
161,M2166-E4-P161,-49.156396,-12.921951,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Biológica Severa
162,M2166-E4-P162,-49.151905,-12.95429,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Agrícola Severa
163,M2166-E4-P163,-49.156756,-12.94917,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Moderada
164,M2166-E4-P164,-49.154779,-12.948182,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Baixa
165,M2166-E4-P165,-49.151545,-12.959051,Centro-Oeste,GO,Goiás,M2166,G28,inside,Degradação Baixa
167,M2166-E4-P167,-49.18128,-12.893834,Centro-Oeste,GO,Goiás,M2166,G28,outside,Degradação Moderada
168,M2166-E4-P168,-49.227633,-12.933988,Centro-Oeste,GO,Goiás,M2166,G28,outside,Degradação Biológica Severa
170,M2174-E3-P170,-49.192598,-13.608354,Centro-Oeste,GO,Goiás,M2174,G29,inside,Degradação Biológica Severa
171,M2174-E3-P171,-49.225207,-13.650754,Centro-Oeste,GO,Goiás,M2174,G29,inside,Degradação Biológica Severa
172,M2174-E3-P172,-49.225926,-13.65309,Centro-Oeste,GO,Goiás,M2174,G29,inside,Degradação Biológica Severa
173,M2174-E3-P173,-49.168254,-13.613923,Centro-Oeste,GO,Goiás,M2174,G29,inside,Degradação Biológica Severa
174,M2174-E3-P174,-49.183076,-13.615001,Centro-Oeste,GO,Goiás,M2174,G29,inside,Degradação Moderada
177,M2174-E3-P177,-49.181459,-13.614911,Centro-Oeste,GO,Goiás,M2174,G29,inside,Degradação Moderada
181,M2174-E3-P181,-49.147233,-13.611408,Centro-Oeste,GO,Goiás,M2174,G29,outside,Não degradada
183,M2174-E3-P183,-49.209487,-13.646712,Centro-Oeste,GO,Goiás,M2174,G29,outside,Degradação Agrícola Severa
184,M2175-E6-P184,-49.214427,-13.709953,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Moderada
185,M2175-E6-P185,-49.179663,-13.752713,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Agrícola Severa
186,M2175-E6-P186,-49.206792,-13.6954,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Moderada
187,M2175-E6-P187,-49.184244,-13.760169,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Agrícola Severa
188,M2175-E6-P188,-49.21847,-13.711211,Centro-Oeste,GO,Goiás,M2175,G29,inside,Não degradada
189,M2175-E6-P189,-49.227094,-13.735825,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Moderada
190,M2175-E6-P190,-49.218111,-13.721721,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Moderada
191,M2175-E6-P191,-49.216943,-13.751904,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Moderada
192,M2175-E6-P192,-49.210205,-13.749838,Centro-Oeste,GO,Goiás,M2175,G29,inside,Degradação Moderada
193,M2175-E6-P193,-49.216494,-13.712109,Centro-Oeste,GO,Goiás,M2175,G29,inside,Não degradada
196,M2175-E6-P196,-49.20787,-13.691627,Centro-Oeste,GO,Goiás,M2175,G29,outside,Degradação Moderada
197,M2175-E6-P197,-49.214248,-13.732321,Centro-Oeste,GO,Goiás,M2175,G29,outside,Degradação Moderada
198,M2179-E2-P198,-49.160439,-14.077723,Centro-Oeste,GO,Goiás,M2179,G29,inside,Degradação Biológica Severa
202,M2179-E2-P202,-49.164212,-14.047899,Centro-Oeste,GO,Goiás,M2179,G29,inside,Degradação Biológica Severa
203,M2179-E2-P203,-49.15415,-14.054367,Centro-Oeste,GO,Goiás,M2179,G29,inside,Degradação Moderada
204,M2179-E2-P204,-49.179573,-14.051133,Centro-Oeste,GO,Goiás,M2179,G29,inside,Degradação Moderada
205,M2179-E2-P205,-49.206522,-14.066494,Centro-Oeste,GO,Goiás,M2179,G29,inside,Degradação Biológica Severa
206,M2179-E2-P206,-49.178674,-14.055805,Centro-Oeste,GO,Goiás,M2179,G29,inside,Degradação Biológica Severa
208,M2179-E2-P208,-49.190442,-14.104673,Centro-Oeste,GO,Goiás,M2179,G29,outside,Degradação Moderada
209,M2179-E2-P209,-49.216044,-14.110602,Centro-Oeste,GO,Goiás,M2179,G29,outside,Degradação Moderada
210,M2179-E2-P210,-49.209487,-14.085898,Centro-Oeste,GO,Goiás,M2179,G29,outside,Degradação Moderada
